  PID TTY           TIME CMD
    1 ??        11:54.61 /sbin/launchd
  112 ??         2:56.87 /usr/libexec/logd
  113 ??         0:00.09 /usr/libexec/smd
  114 ??         0:22.83 /usr/libexec/UserEventAgent (System)
  116 ??         2:32.83 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  117 ??         0:03.09 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  120 ??         0:08.15 /usr/sbin/systemstats --daemon
  122 ??         0:09.00 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
  123 ??         0:34.99 /usr/libexec/configd
  124 ??         0:00.02 endpointsecurityd
  125 ??         0:42.96 /System/Library/CoreServices/powerd.bundle/powerd
  126 ??         0:00.26 /usr/libexec/IOMFB_bics_daemon
  128 ??         0:00.49 /usr/libexec/amfid
  132 ??         0:00.33 /usr/libexec/keybagd -t 15
  133 ??         0:00.78 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  134 ??         0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  136 ??         0:02.54 /usr/libexec/watchdogd
  140 ??        62:40.97 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  141 ??         0:00.09 /System/Library/CoreServices/iconservicesd
  142 ??         0:00.84 /usr/libexec/kernelmanagerd
  143 ??         0:07.16 /usr/libexec/diskarbitrationd
  146 ??         0:36.85 /usr/libexec/coreduetd
  147 ??         0:04.69 /usr/sbin/syslogd
  150 ??         0:13.45 /usr/libexec/thermalmonitord
  151 ??         1:08.49 /usr/libexec/opendirectoryd
  153 ??         0:19.42 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  154 ??         0:50.88 /System/Library/CoreServices/launchservicesd
  155 ??         0:02.88 /usr/libexec/timed
  156 ??         0:00.27 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  157 ??         0:02.94 /usr/sbin/securityd -i
  159 ??         1:06.28 /usr/libexec/locationd
  160 ??         0:02.39 /usr/libexec/nesessionmanager
  162 ??         0:00.02 autofsd
  163 ??         1:09.01 /usr/libexec/dasd
  164 ??         0:00.18 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  166 ??         0:19.54 /usr/sbin/distnoted daemon
  167 ??         0:00.06 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  169 ??         0:00.10 /usr/libexec/dirhelper
  170 ??         0:00.10 /System/Library/CoreServices/logind
  171 ??         0:08.25 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  172 ??         0:00.13 /usr/sbin/KernelEventAgent
  173 ??         0:05.77 /usr/libexec/usermanagerd -t 15
  175 ??         2:25.94 /usr/sbin/bluetoothd
  176 ??         0:50.71 /usr/sbin/notifyd
  177 ??         0:00.21 /usr/libexec/sandboxd
  178 ??         1:47.39 /usr/libexec/corebrightnessd --launchd
  179 ??         0:02.92 /usr/libexec/AirPlayXPCHelper
  180 ??         0:00.24 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
